stop_id,stop_name,stop_lat,stop_lon
700G002158,Lisburn Train Station,54.51391833,-6.045426771
700G002159,Lurgan Train Station,54.46730339,-6.337866967
700G002160,Portadown Train Station,54.42426723,-6.446564106
700G002161,Newry Train Station,54.18872269,-6.362549615
821GIR0001,Bagenalstown,52.69913479,-6.952593843
821GIR0002,Carlow,52.84086149,-6.922542217
822G000007,Connolly,53.35122994,-6.249659063
822G003881,Killester,53.37289934,-6.204223388
822GIR0013,Ashtown,53.37529748,-6.332329751
822GIR0025,Tara St,53.34743752,-6.254605948
822GIR0026,Broombridge,53.37270239,-6.299382068
822GIR0027,Drumcondra,53.36311623,-6.258532975
822GIR0028,Sandymount,53.32797393,-6.220854408
822GIR0032,Clontarf Road,53.36302554,-6.226741877
822GIR0034,Sydney Parade,53.32070826,-6.211624669
822GIR0035,Raheny,53.38144074,-6.175948563
822GIR0129,Park West and Cherry Orchard,53.33402481,-6.378641409
822GIR0131,Harmonstown,53.37870054,-6.191382852
822GIR0132,Heuston,53.34646427,-6.292946703
822GIR0133,Lansdowne Road,53.33381326,-6.229110225
822GIR0134,Pearse,53.34331611,-6.249367486
822GIR0135,Grand Canal Dock,53.33977901,-6.238053871
822GIR0137,Docklands,53.35074562,-6.239344068
822GIR0139,Clongriffin,53.40250237,-6.149238969
822GIR0141,Kilbarrack,53.38731238,-6.160873363
823GIR0036,Clondalkin Fonthill,53.33343528,-6.406261632
823GIR0128,Adamstown,53.3360953,-6.469379807
824G000030,Hansfield,53.38687651,-6.441595136
824G003874,Howth Junction and Donaghmede,53.39154935,-6.15527766
824GIR0015,Navan Road Parkway,53.3775764,-6.345603083
824GIR0016,Donabate,53.48573814,-6.151343086
824GIR0017,Howth,53.38897536,-6.074258246
824GIR0018,Balbriggan,53.61174955,-6.182418309
824GIR0020,Malahide,53.45076272,-6.15640107
824GIR0023,Skerries,53.57402618,-6.118982461
824GIR0024,Sutton,53.39192058,-6.1163175
824GIR0031,"Castleknock, Castleknock",53.38162553,-6.371421718
824GIR0040,Coolmine,53.37750365,-6.391569828
824GIR0041,Clonsilla,53.38301985,-6.423050569
824GIR0130,Rush and Lusk,53.52088966,-6.143176573
824GIR0138,Portmarnock,53.41820845,-6.151219919
824GIR0140,Bayside,53.39134828,-6.13712274
825G000001,Sandycove And Glasthule,53.28820941,-6.126913674
825G000042,Salthill And Monkstown,53.29533594,-6.15218084
825GIR0014,Dalkey,53.27577507,-6.103389603
825GIR0021,Killiney,53.25586364,-6.112889211
825GIR0022,Shankill,53.23653403,-6.117155588
825GIR0029,Seapoint,53.2991446,-6.165414655
825GIR0030,Blackrock,53.30280254,-6.178882278
825GIR0037,Glenageary,53.28107631,-6.123146393
825GIR0039,Booterstown,53.30984635,-6.195240583
825GIR0124,Dun Laoghaire,53.29477486,-6.135192622
826GIR0054,Newbridge,53.1852265,-6.808728743
826GIR0055,Athy,52.99251021,-6.97680488
826GIR0056,Kilcock,53.3990087,-6.668735685
826GIR0057,Kildare,53.1628205,-6.908169938
826GIR0058,Maynooth,53.37808756,-6.590613997
826GIR0059,Monasterevin,53.14543284,-7.063731382
826GIR0060,Sallins And Naas,53.24698191,-6.664663922
826GIR0061,Leixlip Louisa Bridge,53.36999437,-6.506741078
826GIR0062,Leixlip Confey,53.37402191,-6.485424006
826GIR0063,Hazelhatch and Celbridge,53.32241314,-6.524089562
827GIR0064,Kilkenny MacDonagh,52.65454677,-7.243517052
827GIR0065,Thomastown,52.52325063,-7.148914097
828GIR0066,Ballybrophy,52.90003763,-7.602987079
828GIR0067,Portarlington,53.14618415,-7.181569614
828GIR0068,"Portlaoise, Portlaoise",53.0370665,-7.301446718
829GIR0072,Longford,53.72430089,-7.796079718
829GIR0073,Edgeworthstown,53.68886847,-7.602992976
830GIR0074,Drogheda,53.71192901,-6.335888806
830GIR0075,Dundalk,54.00110132,-6.412712782
831GIR0019,Gormanston,53.63705425,-6.216733994
831GIR0083,M3 Parkway,53.4345355,-6.469140347
831GIR0084,Dunboyne,53.41728367,-6.464599858
831GIR0085,Enfield,53.41563874,-6.834987839
831GIR0086,Laytown,53.67909967,-6.242312843
832GIR0087,Tullamore,53.27042464,-7.499975569
832GIR0088,Clara,53.33984068,-7.616437704
833GIR0107,Athlone,53.42699237,-7.935796962
833GIR0108,"Mullingar, Mullingar",53.52254585,-7.345724191
834GIR0109,"Enniscorthy, Enniscorthy",52.50440353,-6.566270952
834GIR0110,Gorey,52.67120779,-6.292211126
834GIR0111,Rosslare Strand,52.27192426,-6.391597047
834GIR0112,Wexford,52.34331624,-6.464418803
834GIR0113,Rosslare Europort,52.2512848,-6.337769234
835GIR0118,Arklow,52.79391392,-6.159849377
835GIR0119,Rathdrum,52.93019067,-6.226353843
835GIR0120,Wicklow,52.9880416,-6.052893513
835GIR0121,Kilcoole,53.10626604,-6.041058902
835GIR0122,Greystones,53.14405852,-6.061061138
835GIR0123,Bray Daly,53.20454509,-6.100803193
836G000245,Sixmilebridge,52.73779015,-8.783497398
836GIR0003,Ennis,52.83912048,-8.975264625
837GIR0126,Cork Kent,51.90191229,-8.458080238
838G000627,Midleton,51.92132473,-8.175893509
838G000629,"Carrigtwohill, Carrigtwohill",51.91637505,-8.261245719
838GIR0004,Mallow,52.13904653,-8.655302668
838GIR0005,Rushbrooke,51.84963968,-8.322692154
838GIR0006,Charleville,52.34727093,-8.653695152
838GIR0007,Carrigaloe,51.86888121,-8.324296457
838GIR0008,Glounthaune,51.91126304,-8.325081289
838GIR0009,Fota,51.89554972,-8.318603925
838GIR0010,Millstreet,52.07751053,-9.070098498
838GIR0011,Banteer,52.12890089,-8.899024199
838GIR0012,Cobh,51.84889865,-8.300407013
838GIR0125,Little Island,51.90762525,-8.355212011
839GIR0050,Killarney,52.05925808,-9.50209176
839GIR0051,Rathmore,52.085406,-9.217985716
839GIR0052,Tralee,52.27104357,-9.69887112
839GIR0053,Farranfore,52.17379338,-9.552135914
840GIR0127,Limerick,52.65883928,-8.624468824
841GIR0071,Castleconnell,52.71320447,-8.498010462
842GIR0095,Nenagh,52.86052776,-8.195125672
842GIR0096,Roscrea,52.96064095,-7.7943772
842GIR0097,Templemore,52.78807848,-7.822588425
842GIR0098,Thurles,52.67676294,-7.822078544
842GIR0101,Birdhill,52.76571735,-8.442228413
842GIR0104,Cloughjordan,52.93645107,-8.024470551
843GIR0099,Tipperary,52.47047312,-8.16166382
843GIR0100,Limerick Junction,52.50100164,-8.199936872
843GIR0102,Cahir,52.37769928,-7.921819758
843GIR0103,"Carrick-on-Suir, Carrick-on-Suir",52.34898027,-7.404404321
843GIR0105,Clonmel,52.36105619,-7.699538006
844GIR0106,Waterford,52.26639048,-7.118137175
846GIR0044,Galway,53.27364566,-9.046808655
847G000062,Oranmore Train Station,53.27625429,-8.94426799
847GIR0042,Ardrahan,53.1572369,-8.814767932
847GIR0043,Athenry,53.30169339,-8.748532446
847GIR0045,Gort,53.06729453,-8.814054268
847GIR0046,Ballinasloe,53.33645056,-8.23982723
847GIR0047,Attymon,53.32131269,-8.606000178
847GIR0048,Woodlawn,53.34315597,-8.471606695
847GIR0049,Craughwell,53.22638686,-8.735896389
848GIR0069,Dromod,53.85911327,-7.916409699
848GIR0070,Carrick on Shannon,53.93832528,-8.106791214
849GIR0076,Ballina,54.10903292,-9.160845578
849GIR0077,Manulla Junction,53.82778624,-9.192353241
849GIR0078,Westport,53.79614062,-9.510042635
849GIR0079,Ballyhaunis,53.76164889,-8.758780889
849GIR0080,Foxford,53.98289009,-9.136416142
849GIR0081,"Castlebar, Castlebar",53.84744589,-9.288308834
849GIR0082,Claremorris,53.72067828,-9.002256246
850GIR0089,Roscommon,53.62434843,-8.196272926
850GIR0090,Boyle,53.96753266,-8.304610775
850GIR0091,Castlerea,53.76152957,-8.485714757
851GIR0092,Sligo,54.2720223,-8.481918164
851GIR0093,Ballymote,54.08819127,-8.52077926
851GIR0094,Collooney,54.18651578,-8.494880644
g:31400:11,"Belfast City Centre, Lanyon Place",54.59552967,-5.91733062
